OMP: Warning #181: OMP_PROC_BIND: ignored because KMP_AFFINITY has been defined
OMP: Warning #181: OMP_PLACES: ignored because KMP_AFFINITY has been defined
TYPE=unsigned int
ENABLE_READ=1
ENABLE_WRITE=1
ENABLE_READWRITE=1
SHUFFLE_THREADS=0
REVERSE_THREADS=0
SHUFFLE_TRANSACTIONS=0
REVERSE_TRANSACTIONS=1
SHUFFLE_ACCESSES=0
REVERSE_ACCESSES=1
TEST_RANDOMICITY=0
Running with MNTh=32 and MNTr=1024 and MAL=262144
mquanta[B], num_threads, num_thransactions, length, memsize[B], read_max_time[s], read_avg_time[s], read_var_time, write_max_time[s], write_avg_time[s], write_var_time, readwrite_max_time[s], readwrite_avg_time[s], readwrite_var_time, read_max_bw[B/s], read_avg_bw[B/s], write_max_bw[B/s], write_avg_bw[B/s], readwrite_max_bw[B/s], readwrite_avg_bw[B/s], 
4 32 1 1 128 5.23e-07 2.73313e-07 7.76321e-15 2.67e-07 1.70531e-07 2.24025e-15 4.49e-07 2.86469e-07 8.82681e-15 2.44742e+08 4.68328e+08 4.79401e+08 7.50596e+08 2.85078e+08 4.4682e+08
4 32 1 2 256 2.61e-07 1.48438e-07 1.76112e-15 1.32e-07 1.06625e-07 2.23047e-16 3.02e-07 1.7075e-07 2.545e-15 9.80843e+08 1.72463e+09 1.93939e+09 2.40094e+09 8.47682e+08 1.49927e+09
4 32 1 4 512 1.52e-07 1.13281e-07 5.1664e-16 1.27e-07 1.00938e-07 2.28871e-16 3.52e-07 1.81531e-07 4.85575e-15 3.36842e+09 4.51972e+09 4.0315e+09 5.07245e+09 1.45455e+09 2.82045e+09
4 32 1 8 1024 2.41e-07 1.27875e-07 1.04011e-15 1.59e-07 1.13375e-07 3.41109e-16 3.3e-07 1.83969e-07 3.90703e-15 4.24896e+09 8.00782e+09 6.44025e+09 9.03197e+09 3.10303e+09 5.56616e+09
4 32 1 16 2048 4.73e-07 2.74844e-07 7.33263e-15 5.42e-07 3.46469e-07 1.18283e-14 6.06e-07 2.87031e-07 2.16922e-14 4.32981e+09 7.45151e+09 3.7786e+09 5.91107e+09 3.37954e+09 7.13511e+09
4 32 1 32 4096 3.1e-07 2.00156e-07 1.73744e-15 2.28e-07 2.02094e-07 1.48272e-16 3.48e-07 2.59688e-07 1.66971e-15 1.32129e+10 2.0464e+10 1.79649e+10 2.02678e+10 1.17701e+10 1.57728e+10
4 32 1 64 8192 4.31e-07 2.62063e-07 3.46568e-15 3.45e-07 3.07281e-07 2.5439e-16 6.46e-07 3.81e-07 4.74837e-15 1.9007e+10 3.12597e+10 2.37449e+10 2.66596e+10 1.26811e+10 2.15013e+10
4 32 1 128 16384 4.76e-07 3.87688e-07 1.37921e-15 5.61e-07 5.22e-07 4.47375e-16 7.85e-07 6.06625e-07 4.68067e-15 3.44202e+10 4.22608e+10 2.9205e+10 3.1387e+10 2.08713e+10 2.70084e+10
4 32 1 256 32768 7.38e-07 6.86e-07 5.61e-16 1.039e-06 9.1275e-07 1.39244e-15 1.202e-06 1.06034e-06 2.50979e-15 4.44011e+10 4.77668e+10 3.1538e+10 3.59003e+10 2.72612e+10 3.09032e+10
4 32 1 512 65536 1.347e-06 1.25713e-06 1.1243e-15 1.846e-06 1.74047e-06 9.83624e-16 2.139e-06 1.98081e-06 4.13909e-15 4.86533e+10 5.21316e+10 3.55016e+10 3.76542e+10 3.06386e+10 3.30854e+10
4 32 1 1024 131072 2.622e-06 2.43828e-06 4.14633e-15 3.412e-06 3.35772e-06 1.2082e-15 4.029e-06 3.829e-06 4.08913e-15 4.99893e+10 5.37559e+10 3.8415e+10 3.9036e+10 3.25321e+10 3.42314e+10
4 32 1 2048 262144 4.831e-06 4.71131e-06 5.53753e-15 6.732e-06 6.58631e-06 3.16548e-14 7.708e-06 7.52559e-06 4.33237e-15 5.42629e+10 5.56414e+10 3.894e+10 3.98013e+10 3.40093e+10 3.48337e+10
4 32 1 4096 524288 9.576e-06 9.34328e-06 1.9112e-14 1.339e-05 1.31648e-05 1.13273e-13 1.5019e-05 1.48971e-05 1.31211e-15 5.47502e+10 5.61139e+10 3.91552e+10 3.9825e+10 3.49083e+10 3.51939e+10
4 32 1 8192 1.04858e+06 1.8931e-05 1.85667e-05 7.11101e-14 2.6578e-05 2.58809e-05 4.74145e-13 2.9879e-05 2.96809e-05 6.13273e-15 5.53894e+10 5.64761e+10 3.94528e+10 4.05154e+10 3.50941e+10 3.53283e+10
4 32 1 16384 2.09715e+06 3.7681e-05 3.70294e-05 3.19372e-13 6.3141e-05 5.98179e-05 6.17259e-12 5.9268e-05 5.91718e-05 1.89536e-15 5.56554e+10 5.66347e+10 3.32138e+10 3.50589e+10 3.53842e+10 3.54418e+10
4 32 1 32768 4.1943e+06 7.5177e-05 7.34295e-05 2.30637e-12 0.000104485 9.95923e-05 1.4122e-11 0.00011835 0.000118245 3.68477e-15 5.57924e+10 5.71201e+10 4.01426e+10 4.21148e+10 3.54398e+10 3.54713e+10
4 32 1 65536 8.38861e+06 0.000150344 0.000147845 5.20459e-12 0.000210683 0.000197402 5.54127e-11 0.000258529 0.000252072 1.89575e-11 5.57961e+10 5.67392e+10 3.98163e+10 4.2495e+10 3.24475e+10 3.32787e+10
4 32 1 131072 1.67772e+07 0.000300267 0.00029417 3.29741e-11 0.00041019 0.000393929 9.92239e-11 0.000495899 0.000485439 2.10532e-11 5.58743e+10 5.70324e+10 4.09011e+10 4.25895e+10 3.38319e+10 3.45609e+10
4 32 1 262144 3.35544e+07 0.000610595 0.000596721 1.03848e-10 0.000786188 0.000767972 1.3605e-10 0.000843093 0.000842928 7.13768e-15 5.49537e+10 5.62313e+10 4.26799e+10 4.36923e+10 3.97992e+10 3.9807e+10
4 32 2 1 256 3.63e-07 2.22969e-07 3.93259e-15 1.77e-07 1.24344e-07 5.45288e-16 4.15e-07 2.28219e-07 8.03748e-15 7.05234e+08 1.14814e+09 1.44633e+09 2.05881e+09 6.16867e+08 1.12173e+09
4 32 2 2 512 2.1e-07 1.42469e-07 8.96937e-16 1.62e-07 1.35906e-07 3.1546e-16 4.02e-07 1.96125e-07 3.7148e-15 2.4381e+09 3.59377e+09 3.16049e+09 3.7673e+09 1.27363e+09 2.61058e+09
4 32 2 4 1024 3.31e-07 1.60656e-07 2.80929e-15 1.75e-07 1.39188e-07 3.97152e-16 4.68e-07 2.38906e-07 7.49627e-15 3.09366e+09 6.37386e+09 5.85143e+09 7.35698e+09 2.18803e+09 4.2862e+09
4 32 2 8 2048 2.4e-07 1.64813e-07 1.10471e-15 2.1e-07 1.67781e-07 3.15233e-16 4.57e-07 2.10719e-07 4.10089e-15 8.53333e+09 1.24262e+10 9.75238e+09 1.22064e+10 4.4814e+09 9.71912e+09
4 32 2 16 4096 5.24e-07 4.07125e-07 3.72017e-15 7.93e-07 4.93031e-07 1.13378e-14 4.92e-07 3.06938e-07 4.08925e-15 7.81679e+09 1.00608e+10 5.1652e+09 8.30779e+09 8.3252e+09 1.33447e+10
4 32 2 32 8192 3.99e-07 3.06594e-07 1.09743e-15 3.95e-07 3.39281e-07 6.61015e-16 5.76e-07 3.85313e-07 4.04721e-15 2.05313e+10 2.67194e+10 2.07392e+10 2.41452e+10 1.42222e+10 2.12607e+10
4 32 2 64 16384 5.25e-07 4.27375e-07 2.15542e-15 5.79e-07 5.41875e-07 3.93297e-16 8.81e-07 6.42094e-07 5.38558e-15 3.12076e+10 3.83364e+10 2.82971e+10 3.02358e+10 1.8597e+10 2.55165e+10
4 32 2 128 32768 7.79e-07 6.98e-07 1.08444e-15 1.037e-06 9.63625e-07 6.04547e-16 1.152e-06 1.06978e-06 9.80358e-16 4.20642e+10 4.69456e+10 3.15988e+10 3.40049e+10 2.84444e+10 3.06306e+10
4 32 2 256 65536 1.339e-06 1.27431e-06 8.1409e-16 1.872e-06 1.77125e-06 8.24e-16 2.057e-06 1.994e-06 1.01806e-15 4.8944e+10 5.14285e+10 3.50085e+10 3.69999e+10 3.186e+10 3.28666e+10
4 32 2 512 131072 2.524e-06 2.44647e-06 1.43062e-15 1.036e-05 7.37106e-06 9.53615e-12 3.926e-06 3.85803e-06 1.04278e-15 5.19303e+10 5.3576e+10 1.26517e+10 1.7782e+10 3.33856e+10 3.39738e+10
4 32 2 1024 262144 4.955e-06 4.82941e-06 4.4828e-15 6.778e-06 6.6915e-06 1.86487e-15 7.588e-06 7.51203e-06 7.72405e-16 5.29049e+10 5.42808e+10 3.86757e+10 3.91757e+10 3.45472e+10 3.48966e+10
4 32 2 2048 524288 9.561e-06 9.3985e-06 1.65603e-14 1.3365e-05 1.31214e-05 5.58964e-14 1.5032e-05 1.49256e-05 1.73749e-15 5.48361e+10 5.57842e+10 3.92284e+10 3.99568e+10 3.48781e+10 3.51268e+10
4 32 2 4096 1.04858e+06 1.911e-05 1.8708e-05 9.11802e-14 2.6822e-05 2.54388e-05 7.0147e-13 2.9901e-05 2.97366e-05 4.82455e-15 5.48705e+10 5.60496e+10 3.90939e+10 4.12195e+10 3.50683e+10 3.52621e+10
4 32 2 8192 2.09715e+06 3.8017e-05 3.73682e-05 2.74648e-13 5.2808e-05 5.19654e-05 4.4883e-13 5.9425e-05 5.92383e-05 9.21866e-15 5.51635e+10 5.61213e+10 3.97128e+10 4.03567e+10 3.52907e+10 3.54019e+10
4 32 2 16384 4.1943e+06 7.5894e-05 7.46415e-05 1.10553e-12 0.000105373 0.00010329 9.45666e-13 0.000118379 0.000118252 2.92023e-15 5.52653e+10 5.61927e+10 3.98044e+10 4.0607e+10 3.54311e+10 3.54693e+10
4 32 2 32768 8.38861e+06 0.000151373 0.000149121 4.08235e-12 0.000210487 0.000198783 3.2941e-11 0.000236514 0.000236279 5.50332e-15 5.54168e+10 5.62538e+10 3.98533e+10 4.21998e+10 3.54677e+10 3.5503e+10
4 32 2 65536 1.67772e+07 0.000302961 0.000297488 1.84412e-11 0.000401317 0.000387804 8.2295e-11 0.000472405 0.000472275 5.29835e-15 5.53775e+10 5.63962e+10 4.18054e+10 4.32621e+10 3.55145e+10 3.55242e+10
4 32 2 131072 3.35544e+07 0.000605129 0.000595499 7.14717e-11 0.000805282 0.00078364 1.19737e-10 0.000850663 0.000849815 9.44043e-14 5.545e+10 5.63468e+10 4.16679e+10 4.28187e+10 3.9445e+10 3.94844e+10
4 32 2 262144 6.71089e+07 0.00258473 0.00153327 3.60877e-08 0.00202777 0.00174769 3.00646e-09 0.0025875 0.0025431 6.29951e-10 2.59636e+10 4.37685e+10 3.30949e+10 3.83985e+10 2.59358e+10 2.63886e+10
4 32 4 1 512 4.29e-07 3.07375e-07 3.29792e-15 3.78e-07 2.83063e-07 3.37206e-15 5.35e-07 3.09469e-07 1.43248e-14 1.19347e+09 1.66572e+09 1.3545e+09 1.80879e+09 9.57009e+08 1.65445e+09
4 32 4 2 1024 2.81e-07 1.83437e-07 1.21175e-15 2.1e-07 1.70344e-07 5.47163e-16 4.51e-07 2.77625e-07 7.85011e-15 3.64413e+09 5.58228e+09 4.87619e+09 6.01137e+09 2.27051e+09 3.68843e+09
4 32 4 4 2048 2.46e-07 1.69969e-07 7.25843e-16 2.19e-07 1.7675e-07 5.01e-16 3.24e-07 2.33156e-07 1.39232e-15 8.3252e+09 1.20493e+10 9.3516e+09 1.1587e+10 6.32099e+09 8.78381e+09
4 32 4 8 4096 2.65e-07 2.11219e-07 7.04108e-16 2.92e-07 2.4025e-07 5.37875e-16 3.26e-07 2.33844e-07 1.01132e-15 1.54566e+10 1.93922e+10 1.40274e+10 1.70489e+10 1.25644e+10 1.7516e+10
4 32 4 16 8192 3.57e-07 3.01937e-07 8.74434e-16 4.82e-07 3.92812e-07 1.3559e-15 2.2909e-05 1.11009e-06 1.53308e-11 2.29468e+10 2.71314e+10 1.69959e+10 2.08547e+10 3.57589e+08 7.37956e+09
4 32 4 32 16384 6.31e-07 4.80906e-07 2.68596e-15 6.34e-07 5.70125e-07 7.87297e-16 8.53e-07 6.45813e-07 6.59571e-15 2.59651e+10 3.4069e+10 2.58423e+10 2.87376e+10 1.92075e+10 2.53696e+10
